case_id,case_kind,repeat,io_threads,connections,payload_size_bytes,qps,latency_avg_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tx_kib_per_s,rx_kib_per_s,mrpc_connections_active,mrpc_requests_inflight,mrpc_completed_requests_average_qps,mrpc_latency_queue_average_ms,mrpc_latency_queue_max_ms,mrpc_latency_handler_average_ms,mrpc_latency_handler_max_ms,mrpc_latency_io_return_average_ms,mrpc_latency_io_return_max_ms,mrpc_latency_end_to_end_average_ms,mrpc_latency_end_to_end_max_ms,mrpc_worker_rejections_total,mrpc_protocol_errors_total
throughput__io8__conn400__payload16,throughput,2,8,400,16,48825.891279,8.146138,7.998196,10.032881,12.515544,16.314025,107.733451,3146.981274,2384.076723,0.0,0.0,47468.0,0.0157832,1.617,0.00143974,1.132,1.70031,9.166,1.72267,9.377,0.0,0.0
throughput__io8__conn400__payload16,throughput,3,8,400,16,48931.230389,8.133319,7.978799,10.061045,12.580913,16.650511,104.091259,3153.770709,2389.220234,0.0,0.0,47672.0,0.0157844,3.79,0.0014412,1.132,1.6934,9.166,1.71577,9.377,0.0,0.0
thread_scale__io1__conn200__payload16,thread_scale,1,1,200,16,13803.24902,14.443117,14.712062,15.502796,19.812372,43.115358,84.064718,889.662534,673.986769,0.0,0.0,13310.3,0.0137275,0.216,0.00189787,0.213,3.37959,8.332,3.39906,8.401,0.0,0.0
thread_scale__io1__conn200__payload16,thread_scale,2,1,200,16,13752.183423,14.497392,14.824881,15.734721,19.416939,43.914217,89.201933,886.371197,671.493331,0.0,0.0,13408.9,0.0138069,0.216,0.00190785,0.213,3.37798,10.279,3.39756,10.324,0.0,0.0
thread_scale__io1__conn200__payload16,thread_scale,3,1,200,16,13732.131402,14.522372,14.813153,15.308073,16.378808,30.220926,67.444583,885.078782,670.514229,0.0,0.0,13443.1,0.013717,0.403,0.00191142,0.213,3.40579,10.279,3.42527,10.324,0.0,0.0
thread_scale__io2__conn200__payload16,thread_scale,1,2,200,16,25914.540663,7.696551,7.886141,9.595961,10.462154,12.539923,67.24454,1670.273129,1265.358431,0.0,0.0,24997.8,0.01192,0.31,0.00173343,0.343,2.04989,6.59,2.06731,6.634,0.0,0.0
thread_scale__io2__conn200__payload16,thread_scale,2,2,200,16,25945.808276,7.683828,7.860367,9.501727,10.383345,12.430686,67.061133,1672.288424,1266.88517,0.0,0.0,25223.8,0.0119206,0.486,0.0017316,0.343,2.04544,6.59,2.06286,6.634,0.0,0.0
thread_scale__io2__conn200__payload16,thread_scale,3,2,200,16,25813.552288,7.725475,7.928937,9.733153,10.761584,13.138649,78.446298,1663.764112,1260.427358,0.0,0.0,25277.9,0.0119227,0.511,0.00173093,0.343,2.0574,6.792,2.07482,6.843,0.0,0.0
thread_scale__io4__conn200__payload16,thread_scale,1,4,200,16,41952.917783,4.752402,4.674494,5.219172,6.631668,7.407982,60.911731,2703.996654,2048.482314,0.0,0.0,40459.6,0.0124786,1.281,0.00163694,0.753,1.0932,3.263,1.11165,3.288,0.0,0.0
thread_scale__io4__conn200__payload16,thread_scale,2,4,200,16,42102.346905,4.735172,4.653798,5.187948,6.594797,7.311087,85.450546,2713.627828,2055.778657,0.0,0.0,40864.1,0.0124317,1.281,0.00163226,0.753,1.09453,3.263,1.11292,3.288,0.0,0.0
thread_scale__io4__conn200__payload16,thread_scale,3,4,200,16,42051.169012,4.740549,4.663509,5.228975,6.656159,7.66587,65.67417,2710.329253,2053.279737,0.0,0.0,41010.3,0.0124093,1.332,0.00162994,0.753,1.09543,3.593,1.1138,3.611,0.0,0.0
thread_scale__io8__conn200__payload16,thread_scale,1,8,200,16,50619.085402,3.936663,3.810538,5.213615,6.879766,8.459549,81.677584,3262.558239,2471.635029,0.0,0.0,49072.7,0.0152036,1.295,0.00144001,0.357,0.835396,5.384,0.857117,5.42,0.0,0.0
thread_scale__io8__conn200__payload16,thread_scale,2,8,200,16,49689.11768,4.010665,3.899049,5.267131,6.822956,8.327143,74.605275,3202.618913,2426.226449,0.0,0.0,48981.1,0.0154553,1.381,0.00144242,0.357,0.835727,5.818,0.85771,5.834,0.0,0.0
thread_scale__io8__conn200__payload16,thread_scale,3,8,200,16,49077.005951,4.059197,3.932905,5.365374,7.075839,9.359176,66.683189,3163.166399,2396.338181,0.0,0.0,48768.1,0.0155818,1.381,0.00145013,0.357,0.845144,8.781,0.867295,8.789,0.0,0.0
thread_scale__io16__conn200__payload16,thread_scale,1,16,200,16,48144.001571,4.13708,3.859555,6.66628,9.702317,12.552471,56.649609,3103.031351,2350.781327,0.0,0.0,46392.8,0.0164111,2.379,0.00142873,0.803,1.22519,10.906,1.24827,10.983,0.0,0.0
thread_scale__io16__conn200__payload16,thread_scale,2,16,200,16,48254.621426,4.128381,3.827167,6.648396,9.674294,12.635389,84.279502,3110.161147,2356.182687,0.0,0.0,46841.1,0.0162894,2.379,0.00142507,0.803,1.23111,10.906,1.25405,10.983,0.0,0.0
thread_scale__io16__conn200__payload16,thread_scale,3,16,200,16,48493.541259,4.108713,3.80905,6.632157,9.606051,12.558444,69.032723,3125.560276,2367.848694,0.0,0.0,47094.4,0.0162879,2.379,0.00142246,0.803,1.22549,10.906,1.24843,10.983,0.0,0.0
payload__io8__conn200__payload16,payload,1,8,200,16,49513.97506,4.024894,3.881866,5.370093,7.194213,9.273834,95.414211,3191.330424,2417.674563,0.0,0.0,47722.4,0.0157298,4.334,0.00143612,0.765,0.871922,8.013,0.894207,8.024,0.0,0.0
